Iteration;Nº Landmarks detected;Landmarks detected;Real Landmarks;Association time (micro sec);Localitation time (micro sec);Association Cost;Recovery Applied;Linear Velocity (m/s);Angular Velocity (rad/s);Location estimated X (m);Location estimated Y (m);Location estimated Angle (rad);Real location X (m);Real location Y (m);Real location Angle (rad);Location Error (cm);Orientation Error
0;3;0-5-17;0-5-6;109,433000;1281,442000;341,967638;0;0,000000;-0,000000;19,829613;-109,394004;1,286797;-7,530000;-121,209999;0,0;2980,211633;0,0
1;3;5-12-17;0-5-6;127,100000;1395,713000;53,910879;0;0,000000;-0,000000;8,066221;-106,491030;0,545413;-7,530000;-121,209999;0,0;2144,504938;0,0
2;3;5-6-12;0-5-6;137,274000;1378,369000;61,165192;0;0,000000;-0,000000;10,340950;-107,918130;0,765640;-7,530000;-121,209999;0,0;2227,205892;0,0
3;3;0-5-6;0-5-6;73,973000;244,939000;2,232066;1;0,000000;-0,000000;-7,612161;-121,279781;-0,003385;-7,530000;-121,209999;0,0;10,779603;0,0
4;3;0-5-6;0-5-6;124,581000;295,345000;0,511669;0;0,000000;-0,000000;-7,496081;-121,185447;0,001539;-7,530000;-121,209999;0,0;4,187221;0,0
5;3;0-5-6;0-5-6;71,569000;269,261000;1,104287;0;0,000000;-0,000000;-7,677756;-121,140694;-0,010331;-7,530000;-121,209999;0,0;16,320263;0,0
6;3;0-5-6;0-5-6;128,759000;300,647000;0,786398;0;0,000000;-0,000000;-7,625927;-121,226623;-0,004411;-7,530000;-121,209999;0,0;9,735733;0,0
7;3;0-5-6;0-5-6;73,585000;235,672000;1,508537;0;0,000000;-0,000000;-7,346129;-121,214841;0,013841;-7,530000;-121,209999;0,0;18,393403;0,0
8;3;0-5-6;0-5-6;125,793000;296,035000;1,647513;0;0,000000;-0,000000;-7,687922;-121,363901;-0,001096;-7,530000;-121,209999;0,0;22,051168;0,0
9;3;0-5-6;0-5-6;74,091000;306,597000;1,353415;0;0,000000;-0,000000;-7,580166;-121,047523;-0,017644;-7,530000;-121,209999;0,0;17,004422;0,0
10;3;0-5-6;0-5-6;118,722000;317,477000;1,034392;0;0,000000;-0,000000;-7,643015;-121,153361;-0,008614;-7,530000;-121,209999;0,0;12,641337;0,0
11;3;0-5-6;0-5-6;126,041000;314,694000;1,154018;0;0,000000;-0,000000;-7,630833;-121,305442;-0,002794;-7,530000;-121,209999;0,0;13,884095;0,0
12;3;0-5-6;0-5-6;123,879000;351,207000;0,604932;0;0,000000;-0,000000;-7,513412;-121,241435;0,011837;-7,530000;-121,209999;0,0;3,554387;0,0
13;3;0-5-6;0-5-6;130,672000;256,123000;1,029378;0;0,000000;-0,000000;-7,297920;-121,019923;0,004536;-7,530000;-121,209999;0,0;29,998359;0,0
14;3;0-5-6;0-5-6;108,740000;335,264000;1,455709;0;0,000000;-0,000000;-7,635835;-121,213215;-0,021831;-7,530000;-121,209999;0,0;10,588382;0,0
15;3;0-5-6;0-5-6;118,779000;315,509000;0,891453;0;0,000000;-0,000000;-7,768452;-121,435548;-0,001740;-7,530000;-121,209999;0,0;32,822558;0,0
16;3;0-5-6;0-5-6;91,023000;259,955000;1,290603;0;0,000000;-0,000000;-7,676750;-121,208188;-0,021298;-7,530000;-121,209999;0,0;14,676190;0,0
17;3;0-5-6;0-5-6;121,084000;306,430000;1,769411;0;0,000000;-0,000000;-7,632974;-121,303598;-0,006512;-7,530000;-121,209999;0,0;13,915657;0,0
18;3;0-5-6;0-5-6;71,620000;203,887000;0,287869;0;0,000000;-0,000000;-7,621868;-121,275129;-0,004839;-7,530000;-121,209999;0,0;11,261278;0,0
19;3;0-5-6;0-5-6;109,807000;238,802000;1,182052;0;0,000000;-0,000000;-7,427354;-121,118183;0,004245;-7,530000;-121,209999;0,0;13,771862;0,0
20;3;0-5-6;0-5-6;98,073000;376,691000;1,114963;0;0,000000;-0,000000;-7,574443;-121,245930;0,008228;-7,530000;-121,209999;0,0;5,715124;0,0
21;3;0-5-6;0-5-6;75,676000;267,285000;0,820322;0;0,000000;-0,000000;-7,592554;-121,237791;-0,007254;-7,530000;-121,209999;0,0;6,845047;0,0
22;3;0-5-6;0-5-6;87,059000;238,189000;0,295803;0;0,000000;-0,000000;-7,592322;-121,255111;-0,002186;-7,530000;-121,209999;0,0;7,693613;0,0
23;3;0-5-6;0-5-6;115,831000;379,636000;1,169324;0;0,000000;-0,000000;-7,550434;-121,242385;0,007926;-7,530000;-121,209999;0,0;3,829342;0,0
24;3;0-5-6;0-5-6;126,523000;276,476000;0,962954;0;0,000000;-0,000000;-7,650982;-121,296380;-0,007456;-7,530000;-121,209999;0,0;14,865562;0,0
25;3;0-5-6;0-5-6;125,380000;287,521000;0,968728;0;0,000000;-0,000000;-7,629992;-121,309183;-0,000503;-7,530000;-121,209999;0,0;14,084006;0,0
26;3;0-5-6;0-5-6;71,345000;223,210000;1,402377;0;0,000000;-0,000000;-7,782957;-121,365705;-0,018901;-7,530000;-121,209999;0,0;29,703801;0,0
27;3;0-5-6;0-5-6;73,548000;254,700000;1,461299;0;0,000000;-0,000000;-7,482733;-121,157960;-0,010595;-7,530000;-121,209999;0,0;7,030117;0,0
28;3;0-5-6;0-5-6;72,096000;222,217000;0,312989;0;0,000000;-0,000000;-7,527096;-121,208755;0,000090;-7,530000;-121,209999;0,0;0,315870;0,0
29;3;0-5-6;0-5-6;111,308000;307,996000;0,651691;0;0,000000;-0,000000;-7,435225;-121,110649;-0,003009;-7,530000;-121,209999;0,0;13,730557;0,0
30;3;0-5-6;0-5-6;111,234000;263,412000;1,302492;0;0,000000;-0,000000;-7,312920;-121,063867;0,014372;-7,530000;-121,209999;0,0;26,168312;0,0
31;3;0-5-6;0-5-6;104,092000;237,679000;1,308584;0;0,000000;-0,000000;-7,457647;-121,203378;0,014279;-7,530000;-121,209999;0,0;7,265471;0,0
32;3;0-5-6;0-5-6;132,015000;285,328000;0,869467;0;0,000000;-0,000000;-7,637895;-121,184039;-0,007267;-7,530000;-121,209999;0,0;11,097397;0,0
33;3;0-5-6;0-5-6;124,318000;310,820000;0,457183;0;0,000000;-0,000000;-7,545524;-121,231586;0,005795;-7,530000;-121,209999;0,0;2,658978;0,0
34;3;0-5-6;0-5-6;73,161000;187,221000;0,406010;0;0,000000;-0,000000;-7,541832;-121,207238;-0,002790;-7,530000;-121,209999;0,0;1,215048;0,0
35;3;0-5-6;0-5-6;125,478000;327,361000;1,324205;0;0,000000;-0,000000;-7,638985;-121,216313;-0,020111;-7,530000;-121,209999;0,0;10,916803;0,0
36;3;0-5-6;0-5-6;106,671000;260,223000;2,010187;0;0,000000;-0,000000;-7,446732;-121,093694;-0,031059;-7,530000;-121,209999;0,0;14,303983;0,0
37;3;0-5-6;0-5-6;72,935000;172,494000;1,405265;0;0,000000;-0,000000;-7,717605;-121,334633;-0,011990;-7,530000;-121,209999;0,0;22,523176;0,0
38;3;0-5-6;0-5-6;84,318000;263,604000;1,060887;0;0,000000;-0,000000;-7,435118;-121,298702;0,006850;-7,530000;-121,209999;0,0;12,988761;0,0
39;3;0-5-6;0-5-6;108,108000;263,793000;1,203310;0;0,000000;-0,000000;-7,701233;-121,091364;-0,011537;-7,530000;-121,209999;0,0;20,831480;0,0
40;3;0-5-6;0-5-6;115,246000;218,196000;0,845798;0;0,000000;-0,000000;-7,506783;-121,212176;0,006640;-7,530000;-121,209999;0,0;2,331893;0,0
41;3;0-5-6;0-5-6;103,066000;190,198000;1,240381;0;0,000000;-0,000000;-7,600841;-121,274170;-0,002189;-7,530000;-121,209999;0,0;9,558408;0,0
42;3;0-5-6;0-5-6;100,525000;212,334000;0,724291;0;0,000000;-0,000000;-7,491751;-121,213161;0,008917;-7,530000;-121,209999;0,0;3,837935;0,0
43;3;0-5-6;0-5-6;74,152000;274,551000;1,322086;0;0,000000;-0,000000;-7,590642;-121,019302;-0,011699;-7,530000;-121,209999;0,0;20,010756;0,0
44;3;0-5-6;0-5-6;76,178000;324,956000;0,990403;0;0,000000;-0,000000;-7,408006;-121,196529;0,004115;-7,530000;-121,209999;0,0;12,273557;0,0
45;3;0-5-6;0-5-6;124,351000;235,756000;0,980456;0;0,000000;-0,000000;-7,555064;-121,231154;0,005121;-7,530000;-121,209999;0,0;3,279867;0,0
46;3;0-5-6;0-5-6;69,499000;273,035000;0,360706;0;0,000000;-0,000000;-7,615489;-121,195404;-0,003642;-7,530000;-121,209999;0,0;8,672626;0,0
47;3;0-5-6;0-5-6;83,672000;279,200000;0,751306;0;0,000000;-0,000000;-7,473549;-121,214777;0,005745;-7,530000;-121,209999;0,0;5,665231;0,0
48;3;0-5-6;0-5-6;89,599000;225,143000;0,996999;0;0,000000;-0,000000;-7,588273;-121,277592;0,015952;-7,530000;-121,209999;0,0;8,924498;0,0
49;3;0-5-6;0-5-6;73,207000;180,371000;1,052359;0;0,000000;-0,000000;-7,355682;-121,023389;-0,001638;-7,530000;-121,209999;0,0;25,536269;0,0
50;3;0-5-6;0-5-6;124,718000;349,047000;0,558631;0;0,000000;-0,000000;-7,294678;-121,032412;0,007015;-7,530000;-121,209999;0,0;29,481088;0,0
51;3;0-5-6;0-5-6;127,488000;305,547000;1,463205;0;0,000000;-0,000000;-7,562712;-120,965737;-0,020069;-7,530000;-121,209999;0,0;24,644326;0,0
52;3;0-5-6;0-5-6;128,916000;379,561000;1,061220;0;0,000000;-0,000000;-7,456545;-121,140090;0,002359;-7,530000;-121,209999;0,0;10,140462;0,0
53;3;0-5-6;0-5-6;127,774000;351,730000;0,712386;0;0,000000;-0,000000;-7,509415;-121,210027;0,001285;-7,530000;-121,209999;0,0;2,058489;0,0
54;3;0-5-6;0-5-6;106,357000;243,794000;1,689166;0;0,000000;-0,000000;-7,454932;-121,217661;0,022784;-7,530000;-121,209999;0,0;7,545744;0,0
55;3;0-5-6;0-5-6;79,221000;221,859000;0,990732;0;0,000000;-0,000000;-7,661979;-121,350589;0,006128;-7,530000;-121,209999;0,0;19,283191;0,0
56;3;0-5-6;0-5-6;121,543000;317,778000;1,183714;0;0,000000;-0,000000;-7,544582;-121,339305;0,027266;-7,530000;-121,209999;0,0;13,012593;0,0
57;3;0-5-6;0-5-6;75,955000;241,739000;0,616238;0;0,000000;-0,000000;-7,556606;-121,224821;-0,002432;-7,530000;-121,209999;0,0;3,045572;0,0
58;3;0-5-6;0-5-6;74,295000;428,736000;0,822013;0;0,000000;-0,000000;-7,671752;-121,153742;-0,007128;-7,530000;-121,209999;0,0;15,250791;0,0
59;3;0-5-6;0-5-6;109,607000;227,310000;0,863443;0;0,000000;-0,000000;-7,522657;-121,209906;0,001787;-7,530000;-121,209999;0,0;0,734287;0,0
60;3;0-5-6;0-5-6;78,670000;199,989000;0,552893;0;0,000000;-0,000000;-7,498595;-121,178388;-0,000182;-7,530000;-121,209999;0,0;4,455934;0,0
